Task Name,Description,List (Sprint),Status,Assignee,Start Date,Due Date,Priority,Tags,Story Points
"Configurar proyecto Spring Boot con PostgreSQL","Inicializar proyecto Spring Boot 3 con las dependencias: Spring Web, Spring Data JPA, Spring Security, PostgreSQL Driver, Lombok, Validation. Configurar application.properties con conexión a PostgreSQL, puerto del servidor y configuración de JPA/Hibernate. Verificar que el proyecto compile y se conecte correctamente a la base de datos.",Sprint 1,complete,Mateo Astudillo,11/01/2025,11/03/2025,High,backend,3
"Configurar proyecto React Native con Expo","Crear proyecto React Native usando Expo CLI. Instalar dependencias core: react-navigation (stack + bottom-tabs), react-native-safe-area-context, async-storage, expo-vector-icons. Configurar estructura de carpetas: src/screens, src/components, src/services, src/contexts, src/types, src/navigation, src/theme. Verificar que la app compile en emulador.",Sprint 1,complete,Jeremy Tierra,11/01/2025,11/03/2025,High,frontend,3
"Diseñar e implementar modelo de datos (entidades JPA)","Crear todas las entidades JPA del sistema: User, Event, Category, Participant, Favorite, Comment, Rating. Incluir enums: UserRole (USER/ADMIN), EventStatus (DRAFT/PUBLISHED/CANCELLED/ARCHIVED), EventVisibility (PUBLIC/PRIVATE), AttendanceStatus (CONFIRMED/CANCELLED/ATTENDED/NOT_ATTENDED). Configurar relaciones: User 1:N Event, Event N:1 Category, User N:M Category (user_interests), Event 1:N Participant, etc. Aplicar validaciones con Jakarta Validation (@NotBlank, @Email, @Min, @Size). Incluir timestamps automáticos con @CreationTimestamp.",Sprint 1,complete,Mateo Astudillo,11/03/2025,11/06/2025,High,backend,5
"Implementar seguridad JWT (filtro provider config)","Implementar JwtTokenProvider con métodos: generateToken(userId, email), getUserIdFromToken(token), validateToken(token). Crear JwtAuthenticationFilter que intercepta requests, extrae el token del header Authorization (Bearer), lo valida y establece el SecurityContext. Configurar SecurityConfig con las rutas públicas (/api/auth/**) y protegidas. Usar BCrypt como PasswordEncoder.",Sprint 1,complete,Mateo Astudillo,11/04/2025,11/07/2025,High,backend,5
"Crear endpoint POST /api/auth/register","Implementar endpoint de registro en AuthController. Recibe: name, email, password. Validar que el email no esté registrado (retornar 400 si duplicado). Encriptar contraseña con BCrypt. Crear usuario con role=USER y active=true. Generar token JWT. Retornar AuthResponse con: token, userId, name, email, role. RF-01.",Sprint 1,complete,Mateo Astudillo,11/07/2025,11/09/2025,Normal,backend,3
"Crear endpoint POST /api/auth/login","Implementar endpoint de login en AuthController. Recibe: email, password. Autenticar usando AuthenticationManager con UsernamePasswordAuthenticationToken. Si las credenciales son inválidas retornar 401. Generar token JWT. Retornar AuthResponse con: token, userId, name, email, role. RF-02.",Sprint 1,complete,Mateo Astudillo,11/07/2025,11/09/2025,Normal,backend,3
"Implementar pantalla de Login","Crear LoginScreen con formulario: campos email y contraseña, botón de inicio de sesión, enlace a pantalla de registro. Validación local de campos vacíos. Mostrar mensajes de error del servidor. Integrar con authService.login(). Diseño limpio con tema de la app. RF-02.",Sprint 1,complete,Jeremy Tierra,11/04/2025,11/07/2025,High,frontend,3
"Implementar pantalla de Registro","Crear RegisterScreen con formulario: campos nombre, email, contraseña y confirmar contraseña. Validaciones locales: campos requeridos, formato email, contraseñas coinciden. Mostrar errores del servidor (email duplicado). Integrar con authService.register(). Enlace de vuelta a Login. RF-01.",Sprint 1,complete,Jeremy Tierra,11/07/2025,11/09/2025,Normal,frontend,3
"Implementar AuthContext y persistencia de sesion (AsyncStorage)","Crear AuthContext con React Context API. Estados: user, token, loading. Métodos: signIn, signUp, signOut, updateUser. Persistir token y datos de usuario en AsyncStorage. Al abrir la app, leer AsyncStorage y restaurar sesión si existen datos almacenados. Proveer estado de loading mientras se verifica. Envolver la app con AuthProvider. RF-02.",Sprint 1,complete,Jeremy Tierra,11/09/2025,11/12/2025,High,frontend,5
"Configurar navegacion base (Stack + Tab Navigator)","Implementar TabNavigator con 4 tabs: Explorar, Mi Agenda, Mapa, Perfil. Cada tab con su propio Stack Navigator. Configurar tipos TypeScript para los params de navegación (ExploreStackParamList, MapStackParamList, MyEventsStackParamList, ProfileStackParamList). Iconos con Ionicons. Tema de colores consistente.",Sprint 1,complete,Jeremy Tierra,11/10/2025,11/12/2025,Normal,frontend,3
"Crear sistema de temas y estilos globales","Definir archivo de tema con: colores (primary, surface, background, text, error, success, warning), tipografía (h1-h4, body, bodySmall, caption), espaciado (xs-xxl), borderRadius, shadows. Exportar constantes reutilizables para mantener consistencia visual en toda la app.",Sprint 1,complete,Jeremy Tierra,11/12/2025,11/13/2025,Low,frontend,2
"Crear seed de categorias iniciales","Crear script SQL o data.sql con las categorías iniciales del sistema: Deportes, Cultura, Educación, Música, Arte, Gastronomía, Tecnología, Salud, Medio Ambiente, Comunidad. Incluir nombre, descripción e icono para cada categoría. Configurar para ejecutarse al iniciar la aplicación.",Sprint 1,complete,Mateo Astudillo,11/13/2025,11/14/2025,Low,backend,2
"Crear endpoint POST /api/events (crear evento)","Implementar creación de eventos en EventController/EventService. Recibe EventRequest: title, description, categoryId, startDate, endDate, location, latitude, longitude, maxCapacity, coverImage, visibility. Validar que endDate > startDate. Asignar organizador desde JWT. Estado inicial = DRAFT. Retornar EventResponse completo. RF-04.",Sprint 2,complete,Mateo Astudillo,11/15/2025,11/17/2025,High,backend,3
"Crear endpoint PUT /api/events/{id} (editar evento)","Implementar edición de eventos. Verificar que el usuario autenticado es el organizador del evento (403 si no). Permitir editar: título, descripción, categoría, fechas, ubicación, capacidad, imagen, visibilidad. Validar fechas. Retornar evento actualizado. RF-05.",Sprint 2,complete,Mateo Astudillo,11/17/2025,11/19/2025,Normal,backend,3
"Crear endpoint DELETE /api/events/{id} (borrado logico)","Implementar borrado lógico de eventos. Verificar que el usuario es el organizador. En lugar de eliminar el registro, establecer deleted_at = NOW(). Los eventos con deleted_at != null no aparecen en ningún listado (filtrar con findByIdAndDeletedAtIsNull). RF-06.",Sprint 2,complete,Mateo Astudillo,11/19/2025,11/20/2025,Normal,backend,3
"Crear endpoint POST /api/events/{id}/publish","Implementar transición de estado DRAFT → PUBLISHED. Verificar que el usuario es organizador. Validar que el estado actual sea DRAFT (400 si no). Cambiar status a PUBLISHED. El evento ahora es visible en exploración y mapa si visibility=PUBLIC. RF-09.",Sprint 2,complete,Mateo Astudillo,11/20/2025,11/21/2025,Normal,backend,2
"Crear endpoint POST /api/events/{id}/cancel","Implementar transición de estado PUBLISHED → CANCELLED. Verificar que el usuario es organizador. Validar que el estado actual sea PUBLISHED. Cambiar status a CANCELLED. Los participantes existentes se conservan pero no se admiten nuevas inscripciones. RF-10.",Sprint 2,complete,Mateo Astudillo,11/21/2025,11/22/2025,Normal,backend,2
"Crear endpoint POST /api/events/{id}/archive","Implementar transición de estado PUBLISHED/CANCELLED → ARCHIVED. Verificar que el usuario es organizador. Validar que el estado sea PUBLISHED o CANCELLED. Cambiar status a ARCHIVED. El evento ya no aparece en exploración activa. RF-11.",Sprint 2,complete,Mateo Astudillo,11/22/2025,11/23/2025,Normal,backend,2
"Crear endpoint GET /api/events/my-events","Retornar todos los eventos creados por el usuario autenticado. Filtrar por organizer_id = userId y deleted_at IS NULL. Incluir eventos en todos los estados (DRAFT, PUBLISHED, CANCELLED, ARCHIVED). Ordenar por fecha de creación. RF-07.",Sprint 2,complete,Mateo Astudillo,11/23/2025,11/24/2025,Normal,backend,2
"Crear endpoint GET /api/events/{id} (detalle)","Retornar información completa de un evento: datos básicos, categoría, organizador, estadísticas (participantCount, commentCount, averageRating, ratingCount, favoriteCount). Si el usuario está autenticado, incluir: hasUserRegistered, isFavorite, isOrganizer. RF-08.",Sprint 2,complete,Mateo Astudillo,11/24/2025,11/25/2025,Normal,backend,3
"Implementar pantalla CreateEventScreen (formulario con mapa)","Crear formulario completo de creación de evento con: inputs para título y descripción, selector de categoría, date pickers para fecha inicio/fin, input de ubicación con mapa interactivo para seleccionar coordenadas (lat/lng), input de capacidad máxima, selector de visibilidad (público/privado). Integrar con eventService.create(). Validaciones locales. RF-04.",Sprint 2,complete,Jeremy Tierra,11/15/2025,11/21/2025,High,frontend,8
"Implementar pantalla MyEventsScreen (tabs creados/asistiendo)","Crear pantalla con tabs internos: Favoritos, Creados, Asistiendo. Cada tab carga sus datos correspondientes (favoriteService.getUserFavorites, eventService.getMyEvents, eventService.getAttendingEvents). Para eventos en DRAFT mostrar badge 'Borrador' con botón publicar. Para PUBLISHED mostrar botón cancelar. Estados vacíos por cada tab. FAB para crear evento. RF-07.",Sprint 2,complete,Jeremy Tierra,11/21/2025,11/25/2025,High,frontend,5
"Implementar pantalla EventDetailScreen","Crear pantalla de detalle completa: imagen de portada, título, organizador, fecha/hora, ubicación con mini mapa, descripción, categoría. Mostrar estadísticas (asistentes, valoración, favoritos). Botones condicionales: inscribirse/cancelar (si no es organizador), publicar/cancelar/archivar (si es organizador), favorito, compartir, comentarios. Banners para estados CANCELLED/ARCHIVED. RF-08.",Sprint 2,complete,Jeremy Tierra,11/18/2025,11/25/2025,High,frontend,8
"Implementar acciones publicar/cancelar/archivar en UI","Integrar botones de transición de estado en MyEventsScreen y EventDetailScreen. Publicar: disponible en estado DRAFT, confirmar acción. Cancelar: disponible en PUBLISHED, diálogo de confirmación con advertencia. Archivar: disponible en PUBLISHED/CANCELLED. Actualizar lista tras cada acción. RF-09, RF-10, RF-11.",Sprint 2,complete,Jeremy Tierra,11/25/2025,11/28/2025,Normal,frontend,3
"Crear endpoint GET /api/events (eventos publicos)","Retornar eventos con visibility=PUBLIC y status=PUBLISHED y deleted_at IS NULL. Ordenar por startDate ascendente (próximos primero). Incluir estadísticas y estado del usuario si está autenticado (opcionalmente via token). RF-12.",Sprint 3,complete,Mateo Astudillo,11/29/2025,12/01/2025,High,backend,3
"Crear endpoint GET /api/events/search (busqueda + filtros)","Implementar endpoint GET /api/events/search con parámetros opcionales: q (búsqueda por título con LIKE), categoryId (filtro exacto). Combinar ambos filtros. Solo retornar eventos PUBLIC + PUBLISHED + no eliminados. Crear queries personalizadas en EventRepository con @Query. RF-14.",Sprint 3,complete,Mateo Astudillo,12/01/2025,12/04/2025,High,backend,5
"Crear endpoint GET /api/categories","Implementar CategoryController con endpoint GET /api/categories. Retornar todas las categorías disponibles con id, name, description, icon. Ruta pública (no requiere autenticación). RF-13.",Sprint 3,complete,Mateo Astudillo,12/04/2025,12/05/2025,Normal,backend,2
"Implementar pantalla HomeScreen (listado de eventos)","Crear pantalla principal de exploración con FlatList de eventos. Cargar eventos públicos al montar y al hacer focus (useFocusEffect). Pull-to-refresh. Estado vacío cuando no hay eventos. FAB para crear evento. Integrar con eventService.getAll(). RF-12.",Sprint 3,complete,Jeremy Tierra,11/29/2025,12/03/2025,High,frontend,5
"Implementar barra de busqueda por texto","Agregar TextInput de búsqueda en HomeScreen. Filtrar eventos localmente por coincidencia en: título, descripción, ubicación, nombre de categoría. Icono de búsqueda y botón para limpiar. Animación al enfocar. Resultados en tiempo real. RF-14.",Sprint 3,complete,Jeremy Tierra,12/03/2025,12/05/2025,Normal,frontend,3
"Implementar filtro por categorias (chips horizontales)","Agregar ScrollView horizontal con chips de categorías debajo de la barra de búsqueda. Chip 'Todos' siempre visible. Al seleccionar una categoría, filtrar eventos por categoryId. Toggle de selección (tocar mismo chip lo deselecciona). Iconos por categoría con getCategoryIcon(). RF-13.",Sprint 3,complete,Jeremy Tierra,12/05/2025,12/07/2025,Normal,frontend,3
"Implementar componente EventCard","Crear componente reutilizable EventCard: imagen de portada, título, fecha formateada, ubicación, categoría con icono, badge de estado (DRAFT/CANCELLED/ARCHIVED), indicador de favorito. Props: event, onPress. Estilo con sombras y border radius. Usado en HomeScreen, MyEventsScreen y FavoritesScreen.",Sprint 3,complete,Jeremy Tierra,12/01/2025,12/03/2025,Normal,frontend,3
"Implementar pantalla MapScreen con react-native-maps","Crear pantalla de mapa usando react-native-maps (MapView). Centrar mapa en Cuenca, Ecuador (-2.9001, -79.0059). Cargar eventos públicos y mostrar como marcadores. Componente de callout personalizado con resumen del evento. Botón para navegar al detalle. RF-15.",Sprint 3,complete,Jeremy Tierra,12/03/2025,12/09/2025,High,frontend,8
"Implementar marcadores de eventos en mapa","Crear marcadores personalizados para cada evento en el mapa usando las coordenadas (latitude, longitude). Callout con título, fecha y ubicación. Al presionar el callout, navegar a EventDetailScreen. Manejar caso de eventos sin coordenadas. RF-15.",Sprint 3,complete,Jeremy Tierra,12/07/2025,12/09/2025,Normal,frontend,3
"Implementar indicaciones externas (Google Maps / Apple Maps)","Implementar función handleOpenExternalMaps() que usa Linking.openURL() con URLs específicas por plataforma. iOS: maps:?daddr={lat},{lng}. Android: geo:{lat},{lng}?q={title}. Fallback a Google Maps web: https://www.google.com/maps/dir/?api=1&destination={lat},{lng}. Disponible desde EventDetailScreen y MapScreen. RF-16.",Sprint 3,complete,Jeremy Tierra,12/09/2025,12/11/2025,Normal,frontend,3
"Implementar pull-to-refresh y estados vacios","Agregar RefreshControl a todas las FlatList principales (HomeScreen, MyEventsScreen, CommentsScreen). Crear componentes de estado vacío personalizados con icono, título y descripción para: sin eventos, sin resultados, sin favoritos, sin comentarios. Botón de acción contextual.",Sprint 3,complete,Jeremy Tierra,12/11/2025,12/12/2025,Low,frontend,2
"Configurar Swagger/OpenAPI para documentacion de API","Agregar dependencia springdoc-openapi-starter-webmvc-ui. Crear OpenApiConfig con información del proyecto: título, descripción, versión, contacto. Configurar esquema de seguridad Bearer JWT. Documentación accesible en /swagger-ui.html.",Sprint 3,complete,Mateo Astudillo,12/10/2025,12/12/2025,Low,backend,2
"Crear endpoints de favoritos (POST/DELETE/GET)","Implementar FavoriteController con: POST /api/events/{eventId}/favorite (agregar), DELETE /api/events/{eventId}/favorite (quitar), GET /api/users/me/favorites (listar favoritos del usuario). Restricción UNIQUE(event_id, user_id). Retornar eventos completos en el listado. RF-17.",Sprint 4,complete,Mateo Astudillo,12/13/2025,12/15/2025,High,backend,3
"Crear endpoints de asistencia (POST/DELETE)","Implementar en ParticipantController: POST /api/events/{eventId}/attendance (registrar). Validar que el evento esté PUBLISHED y que el usuario no esté ya registrado. Generar checkin_token con SecureRandom + Base64. DELETE /api/events/{eventId}/attendance (cancelar). Eliminar registro del participante. RF-18.",Sprint 4,complete,Mateo Astudillo,12/15/2025,12/17/2025,High,backend,3
"Crear endpoint GET /api/events/attending","Retornar eventos a los que el usuario está inscrito. Buscar participaciones del usuario, mapear a eventos, filtrar eventos eliminados y excluir eventos donde el usuario es organizador. Retornar como List<EventResponse> con estadísticas. RF-18.",Sprint 4,complete,Mateo Astudillo,12/17/2025,12/18/2025,Normal,backend,2
"Crear endpoints de comentarios (CRUD)","Implementar CommentController: POST /api/events/{eventId}/comments (crear), GET /api/events/{eventId}/comments (listar, ordenados por fecha), PUT /api/comments/{id} (editar, solo autor), DELETE /api/comments/{id} (eliminar, solo autor). Validar que el evento exista. Retornar CommentResponse con datos del usuario. RF-19.",Sprint 4,complete,Mateo Astudillo,12/18/2025,12/22/2025,High,backend,5
"Crear endpoints de valoraciones (POST/PUT/GET)","Implementar RatingController: POST /api/events/{eventId}/ratings (crear o actualizar). Si ya existe valoración del usuario, actualizar score y comment. GET /api/events/{eventId}/ratings (listar todas). Score debe ser 1-5. Restricción: una valoración por usuario-evento. Calcular promedio en EventResponse. RF-20.",Sprint 4,complete,Mateo Astudillo,12/22/2025,12/24/2025,Normal,backend,3
"Implementar boton de favorito en EventCard y EventDetail","Agregar icono de corazón en EventCard y EventDetailScreen. Si isFavorite=true, mostrar corazón lleno; si false, corazón vacío. Al presionar, llamar a favoriteService.toggle(). Actualización optimista del UI (cambiar icono inmediatamente). Actualizar contador de favoritos. RF-17.",Sprint 4,complete,Jeremy Tierra,12/13/2025,12/16/2025,Normal,frontend,3
"Implementar tab Favoritos en MyEventsScreen","Agregar tab 'Favoritos' (icono corazón) como primer tab en MyEventsScreen. Cargar favoritos con favoriteService.getUserFavorites(). Mostrar badge con contador. Estado vacío: 'Los eventos que marques con corazón aparecerán aquí'. RF-17.",Sprint 4,complete,Jeremy Tierra,12/16/2025,12/18/2025,Normal,frontend,3
"Implementar boton inscribirse/cancelar asistencia","En EventDetailScreen, mostrar botón 'Inscribirse' si hasUserRegistered=false y evento PUBLISHED. Mostrar 'Cancelar asistencia' si ya está inscrito. Deshabilitar si evento CANCELLED o ARCHIVED. Integrar con participantService. Actualizar UI tras acción. RF-18.",Sprint 4,complete,Jeremy Tierra,12/18/2025,12/20/2025,High,frontend,3
"Implementar tab Asistiendo en MyEventsScreen","Agregar tab 'Asistiendo' (icono ticket) en MyEventsScreen. Cargar con eventService.getAttendingEvents(). Mostrar badge con contador. Estado vacío: 'Confirma tu asistencia a eventos para verlos aquí'. RF-18.",Sprint 4,complete,Jeremy Tierra,12/20/2025,12/22/2025,Normal,frontend,3
"Implementar pantalla CommentsScreen","Crear pantalla de comentarios para un evento. FlatList con comentarios ordenados por fecha. Cada comentario muestra: nombre de usuario, fecha relativa, contenido. Input para escribir nuevo comentario con botón enviar. Si es autor del comentario: opciones editar/eliminar. Pull-to-refresh. RF-19.",Sprint 4,complete,Jeremy Tierra,12/15/2025,12/20/2025,High,frontend,5
"Implementar componente RatingStars y flujo de valoracion","Crear componente RatingStars interactivo con 5 estrellas. Al tocar una estrella, se selecciona la puntuación (1-5). Integrar en EventDetailScreen. Mostrar promedio actual y número de valoraciones. Permitir crear/actualizar valoración. Campo opcional de comentario. RF-20.",Sprint 4,complete,Jeremy Tierra,12/20/2025,12/25/2025,High,frontend,5
"Mostrar estadisticas en EventDetail (asistentes rating favoritos)","En EventDetailScreen, mostrar sección de estadísticas: número de asistentes/capacidad, valoración promedio con estrellas, número de valoraciones, número de favoritos. Usar datos de EventResponse: participantCount, averageRating, ratingCount, favoriteCount. RF-08.",Sprint 4,complete,Jeremy Tierra,12/24/2025,12/26/2025,Normal,frontend,3
"Generar checkin_token al registrar asistencia","En ParticipantService.registerAttendance(), generar un token único de check-in usando SecureRandom (32 bytes) codificado en Base64 URL-safe (64 caracteres). Almacenar en campo checkin_token del participante. Este token se usará para generar el código QR. RF-21.",Sprint 5,complete,Mateo Astudillo,12/27/2025,12/29/2025,High,backend,3
"Crear endpoint GET /api/events/{id}/my-ticket","Implementar en ParticipantController. Retorna los datos del ticket del usuario: eventTitle, location, startDate, userName, checkinToken, attendanceStatus. Si el participante no tiene token (registros antiguos), generar uno automáticamente. Verificar que el usuario esté registrado en el evento. RF-21.",Sprint 5,complete,Mateo Astudillo,12/29/2025,12/31/2025,High,backend,3
